age,sport,training_days,matches_30_days,rest_days,previous_injury,training_intensity,injury_risk_score,risk_level
20,Tennis,5,10,4,No,Medium,53,MEDIUM
34,Tennis,3,5,4,Yes,High,64,MEDIUM
19,Soccer,4,4,0,No,Medium,56,MEDIUM
40,Soccer,4,11,5,No,Medium,60,MEDIUM
25,Tennis,1,2,4,No,Low,19,LOW
33,Tennis,7,11,3,No,Low,73,HIGH
27,Cricket,4,1,3,No,Medium,39,MEDIUM
31,Soccer,4,1,1,Yes,Medium,83,HIGH
29,Weightlifting,7,11,0,Yes,High,100,HIGH
37,Soccer,1,11,3,No,Low,64,MEDIUM
28,Running,1,8,0,Yes,Low,81,HIGH
14,Basketball,5,9,1,No,High,89,HIGH
21,Tennis,2,0,5,No,Medium,32,MEDIUM
14,Basketball,5,13,2,Yes,Medium,87,HIGH
27,Basketball,1,9,1,No,Low,58,MEDIUM
17,Weightlifting,5,6,4,No,Low,51,MEDIUM
26,Basketball,3,5,3,Yes,High,75,HIGH
25,Tennis,4,13,5,No,High,62,MEDIUM
38,Weightlifting,1,0,0,No,Low,44,MEDIUM
19,Basketball,1,13,4,No,Low,35,MEDIUM
37,Basketball,6,7,0,No,Low,74,HIGH
20,Soccer,3,0,4,No,Low,19,LOW
30,Soccer,2,11,5,No,Medium,60,MEDIUM
34,Tennis,2,5,3,No,Medium,57,MEDIUM
30,Weightlifting,5,3,1,No,Medium,61,MEDIUM
16,Tennis,4,10,3,No,Medium,63,MEDIUM
32,Tennis,7,3,0,No,Medium,70,HIGH
36,Weightlifting,2,2,3,No,High,51,MEDIUM
33,Tennis,1,1,0,No,High,62,MEDIUM
22,Cricket,3,2,2,Yes,Medium,57,MEDIUM
14,Tennis,3,0,3,Yes,Medium,58,MEDIUM
35,Basketball,5,8,3,No,Low,60,MEDIUM
34,Tennis,7,2,0,No,Medium,85,HIGH
35,Weightlifting,6,5,5,No,High,73,HIGH
40,Basketball,2,4,5,No,Medium,44,MEDIUM
29,Basketball,4,2,0,No,High,67,HIGH
27,Running,6,2,3,No,High,66,HIGH
16,Tennis,1,3,4,No,High,38,MEDIUM
16,Soccer,1,9,5,No,Medium,50,MEDIUM
35,Soccer,7,10,1,Yes,Medium,100,HIGH
14,Cricket,3,5,4,No,Medium,43,MEDIUM
39,Cricket,4,12,3,No,Medium,62,MEDIUM
29,Weightlifting,4,2,3,No,Medium,41,MEDIUM
39,Weightlifting,5,5,1,Yes,Low,93,HIGH
23,Weightlifting,7,5,2,No,Medium,62,MEDIUM
18,Tennis,6,12,3,No,Medium,75,HIGH
